"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-01","3.80",",,W"," 1657",",,W"," 1632",",,W","0.00",",,W,2400",,,,,"48",",,W","62",",,W","34",",,W",,,"  310",",,W","  300",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-02","1.57",",,W"," 1932",",,W"," 2214",",,W","0.00",",,W,2400",,,,,"48",",,W","63",",,W","33",",,W",,,"  310",",,W","  210",",,W","8.1",",,W","10.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-03","2.91",",,W"," 1718",",,W"," 1717",",,W","0.00",",,W,2400",,,,,"50",",,W","65",",,W","35",",,W",,,"  310",",,W","  310",",,W","8.9",",,W","10.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-04","2.01",",,W"," 1912",",,W"," 1906",",,W","0.00",",,W,2400",,,,,"47",",,W","57",",,W","37",",,W",,,"  240",",,W","  240",",,W","6.0",",,W","8.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-05","2.46",",,W"," 1703",",,W"," 1701",",,W","0.00",",,W,2400",,,,,"47",",,W","59",",,W","34",",,W",,,"  320",",,W","  320",",,W","8.1",",,W","8.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-06","1.79",",,W"," 1137",",,W"," 1438",",,W","0.00",",,W,2400",,,,,"45",",,W","52",",,W","37",",,W",,,"  300",",,W","  340",",,W","8.1",",,W","8.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-07","4.25",",,W"," 1821",",,W"," 1819",",,W","0.00",",,W,2400",,,,,"44",",,W","54",",,W","34",",,W",,,"  320",",,W","  320",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-08","6.71",",,W"," 1430",",,W"," 1430",",,W","0.00",",,W,2400",,,,,"49",",,W","63",",,W","35",",,W",,,"  320",",,W","  320",",,W","21.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-09","2.91",",,W"," 1336",",,W"," 1335",",,W","0.00",",,W,2400",,,,,"46",",,W","58",",,W","33",",,W",,,"  280",",,W","  260",",,W","8.9",",,W","11.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-10","2.46",",,W"," 1503",",,W"," 1456",",,W","0.00",",,W,2400",,,,,"45",",,W","58",",,W","32",",,W",,,"  320",",,W","  310",",,W","8.1",",,W","10.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-11","3.58",",,W"," 1608",",,W"," 1607",",,W","0.00",",,W,2400",,,,,"46",",,W","59",",,W","33",",,W",,,"  330",",,W","  340",",,W","16.1",",,W","17.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-12","4.47",",,W"," 1658",",,W"," 1659",",,W","0.00",",,W,2400",,,,,"49",",,W","58",",,W","39",",,W",,,"  320",",,W","  330",",,W","17.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-13","4.03",",,W"," 1447",",,W"," 1446",",,W","0.00",",,W,2400",,,,,"49",",,W","56",",,W","41",",,W",,,"  310",",,W","  310",",,W","11.0",",,W","14.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-14","3.13",",,W"," 1247",",,W"," 1245",",,W","0.00","T,,W,2400",,,,,"49",",,W","58",",,W","39",",,W",,,"  310",",,W","  310",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-15","2.91",",,W"," 1144",",,W"," 1142",",,W","0.23",",,W,2400",,,,,"54",",,W","61",",,W","47",",,W",,,"   30",",,W","   20",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-16","4.47",",,W"," 1722",",,W"," 1727",",,W","0.03",",,W,2400",,,,,"57",",,W","63",",,W","51",",,W",,,"  310",",,W","  320",",,W","13.0",",,W","14.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-17","9.62",",,W"," 1543",",,W"," 1542",",,W","0.00",",,W,2400",,,,,"59",",,W","65",",,W","52",",,W",,,"  180",",,W","  170",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-18","8.28",",,W"," 0626",",,W"," 0625",",,W","0.76",",,W,2400",,,,,"57",",,W","59",",,W","55",",,W",,,"  130",",,W","  130",",,W","16.1",",,W","17.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-19","8.50",",,W"," 1605",",,W"," 1314",",,W","0.28",",,W,2400",,,,,"58",",,W","62",",,W","54",",,W",,,"  190",",,W","  130",",,W","17.9",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-20","6.71",",,W"," 1320",",,W"," 1432",",,W","0.09",",,W,2400",,,,,"54",",,W","58",",,W","49",",,W",,,"  170",",,W","  170",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-21","5.14",",,W"," 1107",",,W"," 1106",",,W","0.00","T,,W,2400",,,,,"52",",,W","57",",,W","47",",,W",,,"  340",",,W","  350",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-22","9.40",",,W"," 1726",",,W"," 1723",",,W","0.00",",,W,2400",,,,,"54",",,W","61",",,W","47",",,W",,,"  190",",,W","  210",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","37.35938","-121.92444","15.0","1999-01-23","7.38",",,W"," 0112",",,W"," 0111",",,W","0.35",",,W,2400",,,,,"47",",,W","54",",,W","39",",,W",,,"  130",",,W","  140",",,W","17.9",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
